country,iso2c,iso3c,year,TX.VAL.TECH.MF.ZS
Uganda,UG,UGA,2023,1.40810780488794
Uganda,UG,UGA,2022,2.39571486308791
Uganda,UG,UGA,2021,2.34793469732292
Uganda,UG,UGA,2020,2.10287202929438
Uganda,UG,UGA,2019,3.1241230157024
Uganda,UG,UGA,2018,3.47828668335427
Uganda,UG,UGA,2017,2.05387568901074
Uganda,UG,UGA,2016,2.05103990718418
Uganda,UG,UGA,2015,2.30542251177894
Uganda,UG,UGA,2014,2.67852875134755
Uganda,UG,UGA,2013,2.10858762499599
Uganda,UG,UGA,2012,21.8946155610075
Uganda,UG,UGA,2011,22.5560353478091
Uganda,UG,UGA,2010,2.57100611671004
Uganda,UG,UGA,2009,1.30646556077574
Uganda,UG,UGA,2008,1.48880852848695
Uganda,UG,UGA,2007,NA
Uganda,UG,UGA,2006,NA
Uganda,UG,UGA,2005,NA
Uganda,UG,UGA,2004,NA
Uganda,UG,UGA,2003,NA
Uganda,UG,UGA,2002,NA
Uganda,UG,UGA,2001,NA
Uganda,UG,UGA,2000,NA
