country,iso2c,iso3c,year,IT.CEL.SETS.P2
Uganda,UG,UGA,2023,76.2967
Uganda,UG,UGA,2022,70.1401
Uganda,UG,UGA,2021,65.6221
Uganda,UG,UGA,2020,62.2824
Uganda,UG,UGA,2019,59.0598
Uganda,UG,UGA,2018,58.8754
Uganda,UG,UGA,2017,62.0968
Uganda,UG,UGA,2016,58.8634
Uganda,UG,UGA,2015,53.8756
Uganda,UG,UGA,2014,55.9572
Uganda,UG,UGA,2013,51.1323
Uganda,UG,UGA,2012,47.6343
Uganda,UG,UGA,2011,50.0591
Uganda,UG,UGA,2010,39.6047
Uganda,UG,UGA,2009,29.8359
Uganda,UG,UGA,2008,28.0124
Uganda,UG,UGA,2007,14.1477
Uganda,UG,UGA,2006,6.97652
Uganda,UG,UGA,2005,4.70367
Uganda,UG,UGA,2004,4.29039
Uganda,UG,UGA,2003,2.94538
Uganda,UG,UGA,2002,1.54041
Uganda,UG,UGA,2001,1.14574
Uganda,UG,UGA,2000,0.528801
