country,iso2c,iso3c,year,IT.NET.SECR.P6
Uganda,UG,UGA,2023,51.6271163289848
Uganda,UG,UGA,2022,43.8571285662107
Uganda,UG,UGA,2021,34.4144629612164
Uganda,UG,UGA,2020,35.3823834689186
Uganda,UG,UGA,2019,22.6280979999901
Uganda,UG,UGA,2018,20.7863040197608
Uganda,UG,UGA,2017,20.9072824744107
Uganda,UG,UGA,2016,4.02070643193439
Uganda,UG,UGA,2015,3.03745291348487
Uganda,UG,UGA,2014,2.2255474771235
Uganda,UG,UGA,2013,1.86772848729104
Uganda,UG,UGA,2012,1.68911844849927
Uganda,UG,UGA,2011,0.659580315640961
Uganda,UG,UGA,2010,0.277856658195743
Uganda,UG,UGA,2009,NA
Uganda,UG,UGA,2008,NA
Uganda,UG,UGA,2007,NA
Uganda,UG,UGA,2006,NA
Uganda,UG,UGA,2005,NA
Uganda,UG,UGA,2004,NA
Uganda,UG,UGA,2003,NA
Uganda,UG,UGA,2002,NA
Uganda,UG,UGA,2001,NA
Uganda,UG,UGA,2000,NA
